"Senja Jatuh Di Pajajaran","Text","","978-979-045-240-4","Penerbit Tiga Serangkai","2009","Novel","","","Indonesia","Solo","NONE","","","","<Aan Merdeka Pernama>","","<10561>"
"Senja Jatuh Di Pajajaran","Text","","978-979-045-308-1","Penerbit Tiga Serangkai","2009","Novel","","","Indonesia","Solo","NONE","","","","<Aan Merdeka Pernama>","","<10560>"
"Ada Duka Di Wibeng","Text","","979-3414-28-6","PT ERA ADICITRA INTERMEDI","2008","Novel","","","Indonesia","Solo","NONE","","","","<Jazimah Al-Muhyi>","","<10558><10559>"
"Mata Hati Dina","Text","","978-602-468-273-6","CV Pustaka Media Guru","2018","cerpen","","","Indonesia","Surabaya","NONE","","","","<Tri Sulistini>","","<10556><10557>"
"Telungatus Candra","Text","","978-602-434-659","Penerbit Erlangga","2017","Novel","","","Indonesia","jakarta","NONE","","","","<Sri Sunarsih>","","<10554><10555>"
"The Last Barongsay","Text","","308-813-001-0","Penerbit Erlangga","2010","Novel","","","Indonesia","jakarta","NONE","","","","<Pere Sumbada>","","<10552><10553>"
"Misteri Laut Biru","Text","","979-9133-97-1","CV Purnama elok","2005","Novel","","","Indonesia","","NONE","","","","<Yuliadi>","","<105450><10551>"
"Menemukan Hati","Text","","308-895-002-0","Penerbit Erlangga","2011","Novel","","","Indonesia","jakarta","NONE","","","","<Zara Zettira ZR>","","<10547><10548><10549>"
"Cinta Bertabur di Langit Mekah","Text","","","Penerbit Erlangga","2009","Novel","","","Indonesia","jakarta","NONE","","","","<Roidah>","","<10545><10546>"
"Robert Anak Surapati","Text","","979-407-110-2","Balai Pustaka","1997","Novel","","","Indonesia","jakarta","NONE","","","","<Abdoel Moeis>","","<10543><10544>"
"The Lost Years Hilangnya Surat sang","Text","","308-813-029-0","Penerbit Erlangga","2014","Novel","","","Indonesia","jakarta","NONE","","","","<Mesias Mary Higgins Clark>","","<10541><10542>"
"Jalan Menikung Para Priyayi 2","Text","","979-444-421-x","PT Pustaka Utama Grafiti","2002","","","","Indonesia","jakarta","NONE","","","","<Umar Kayam>","","<10506><10537><10538>"
"Romansa 2 Benua","Text","","808-813-002-0","Penerbit Erlangga","2015","Novel","","","Indonesia","jakarta","NONE","","","","<Pipiet senja>","","<10500><10536>"
"Para Pencari Keadilan","Text","","808-813-003-0","Penerbit Erlangga","2015","Novel","","","Indonesia","jakarta","NONE","","","","<Pipiet senja>","","<10529><10535>"
"Gadis Karaoke","Text","","","Sinar Matahari","","Novel","","","Indonesia","jakarta","NONE","","","","<Fredy s.>","","<10530><10534>"
"Melintas Kebun Buah Kaktus","Text","","","CV. Pusaka Agung","2006","Novel","","","Indonesia","","NONE","","","","<Fitri>","","<10532>"
"Malam Terang Benderang","Text","","979 9412 08 4","PenerbitTropicasurya Inticipta","2000","","","","Indonesia","jakarta","NONE","","","","<Nawawi A Manan>","","<10531>"
"Si Peramal Cinta","Text","","308.813.008.0","Penerbit Erlangga","2012","Novel","","","Indonesia","jakarta","NONE","","","","<Allison Van Dating>","","<10528>"
"Pelarian Romantis","Text","","61.42.039.0","Penerbit Erlangga","2008","Novel","","","Indonesia","jakarta","NONE","","","","<Sarah monk>","","<10527>"
"Tamu","Text","","979-444-355-7","PT Pustaka Utama Grafiti","2002","Novel","","","Indonesia","jakarta","NONE","","","","<Wisran Hadi>","","<10515><10516><10517><10518>"
"Heart of the Matter","Text","","308.813.002.0","Penerbit Erlangga","2010","","","","Indonesia","jakarta","NONE","","","","<Emily Giffin>","","<10508>"
"Mengenal Pahlawan bangsa","Text","","","PT DIAN MURNI SEATI","","Novel","","","Indonesia","Surabaya","NONE","","","","<W. Ibrahim>","","<10503>"
"Tidak Hilang Sebuah Nama","Text","","979-3316-42-x","PT ERA ADICITRA INTERMEDI","2008","Novel","","","Indonesia","Solo","NONE","","","","<Galang Lufityanto>","","<10502>"
"Nutrisi Sehat Bagi Penderita Diabetes","Text","Cetakan Pertama: September 2014","978-602-9212-49-5","Metagraf Creative Imprint of Tiga Serangai","2014","","","613.2 MAG N03/3","Indonesia","Solo","613","","Nutrisi_Sehat_Bagi_Penderita_Diabetes.jpg.jpg","","<Elaine Magee, M.P.H., R.D.>","","<10248><10249><10250>"
"It's About Your Flare of BeautyrnSolusi Merawat Kulit Wajah Nan Sehat Dan Cantik","Text","Cetakan Pertama: Juli 2017","978-602-6328-31-1","","2017","","","","Indonesia","Solo","NONE","","It's_About_Flare_of_Beauty.jpg.jpg","","<Lioni Ellis>","","<10245><10246><10247>"
"Apa Kata Dokter?rnTanya Jawab, Pembahasan, dan Tips-Tips Seputar Kesehatan Anak.","Text","Cetakan Pertama: November 2014","978-602-9212-71-6","Metagraf","2014","","","","Indonesia","Solo","NONE","","Apa_Kata_Dokter..JPG.JPG","","<dr. Sony Prabowo, Sp.A.><dr. Salma>","","<10242><10243><10244>"
"Bekal-Bekal Yummy!","Text","Cetakan Pertama: Februari 2017","978-602-366-252-4","Tiga Ananda Creative Imprint of Tiga Serangkai","2017","","","","Indonesia","Solo","NONE","","Bekal-Bekal_Yummy!.jpg.jpg","","<Debby Lukito Goeyardi>","","<10237><10238><10239>"
"Sehat Alami:rnJajanan Tradisional ala Cafe","Text","Cetakan Pertama: Februari 2016","978-602-73871-0-2","Metagraf Creative Imprint of Tiga Serangai","2016","","","","Indonesia","Solo","NONE","","Sehat_Alami_Jajanan_Tradisional_ala_Cafe.jpg.jpg","","<Leny Herawati>","","<10234><10235><10236>"
"Single DAD Berbagi Cerita","Text","Cetakan Pertama: November 2017","978-602-6328-41-0","Metagraf Creative Imprint of Tiga Serangai","2017","","","","Indonesia","Solo","NONE","","Single_DAD_Berbagi_Cerita.jpg.jpg","","<Anna Farida>","","<10231><10232><10233>"
"Aneka KuernTradisionalrnMelestarikan Budaya Dengan Masakan","Text","Cetakan Pertama: Juli 2016","978-602-6328-10-6","Metagraf Creative Imprint of Tiga Serangai","2016","","","","Indonesia","Solo","NONE","","Aneka_Kue_Tradisional_Melestarikan_Budaya_Dengan_Masakan.jpg.jpg","","<Elmira Arasy><Bejo Wage Suu>","","<10228><10229><10230>"
"Mid- Career Crisis","Text","Cetakan Pertama: Juli 2017","978-602-6328-32-8","Metagraf Creative Imprint of Tiga Serangai","2017","","","","Indonesia","Solo","NONE","","Mid-_Career_Crisis.jpg.jpg","","<Ardiningtiyas Pitaloka><M. Husin Syarbini. STP>","","<10226><10227>"
"88 Resep Warisan Leluhur","Text","Cetakan Pertama: April 2017","978-602-6328-26-7","Metagraf Creative Imprint of Tiga Serangai","2017","","","","Indonesia","Solo","NONE","","88_Resep_Warisan_Leluhur.jpg.jpg","","<Leny Herawati>","","<10224><10225>"
"Membangun Madrasah Cinta","Text","","978-602-0894-52-2","PT Tiga Serangkai Putaka Mandiri","2017","","","","Indonesia","Solo","NONE","","","","<Ina Salma febrianty>","","<10186><10187><10189>"
"Queen of HeartsrnVolume OnernThe Crown","Text","Cetakan Pertama: April 2015","978-602-72097-7-0","Metamind, Creative Imprint of Tiga Serangkai","2015","","","","Indonesia","Solo","NONE","","Queen_of_Heart_1_The_Crown.jpg.jpg","","<Colleen Oakes>","","<10223>"
"100 Masalah Wanita","Text","Cetakan Pertama: November 2015","978-602-0894-12-6","Tinta Medina, Creative Imprint of Tiga Serangkai","2015","","","","Indonesia","Solo","NONE","","100_Masalah_Wanita.jpg.jpg","","<Ali bin Nayif asy-Syuhud>","","<10219><10220><10221>"
"Buya HamkarnMemoar Perjalanan Hidup Sang Ulama","Text","Cetakan Pertama: Desember 2017","978-602-0894-89-8","Tinta Medina, Creative Imprint of Tiga Serangkai","2017","","","","Indonesia","Solo","NONE","","Buya_Hamka_Memoar_Perjalanan_Hidup_Sang_Ulama.jpg.jpg","","<Yanuardi Syukur><Arlen Ara Guci>","","<10194><10218>"
"In The Mind of Natali Ardianto","Text","Cetakan Pertama: Oktober 2016","978-602-6328-16-8","Metagraf Creative Imprint of Tiga Serangai","2016","","","","Indonesia","Solo","NONE","","In_The_Mind_of_Natali_Ardianto.jpg.jpg","","<Natali Ardianto>","","<10215><10216><10217>"
"Akpol Menuju World Class Police Academy","Text","","978-602-60988-0-1","akademi Kepolisian","2017","","","","Indonesia","Semarang","NONE","","","","<Dr. Anas Yusuf, Dipl. Krim, S.H., M.H.,M.M>","","<10210><10211>"
"Bekal Awal Bagi Taruna","Text","","","Bag, Humas Akpol","2017","","","","Indonesia","","NONE","","","","<Humas Akpol>","","<10208><10209>"
"Merancang Aplikasi Rekam Medis dengan VB.NET","Text","","978-602-02-7579-6","PT Gramedia","2015","","","","Indonesia","jakarta","NONE","","","","<I Gusti Ngurah Suryantara, S.Kom., M.Kom>","","<10207>"
"Kumpulan Tips dan Trik Motoyuk Lanskap dan Arsitektur #1","Text","","978-602-00-0423-9","PT Gramedia","2013","","","","Indonesia","jakarta","NONE","","","","<Edo Kurniawan dan Narsiskus Tedy>","","<10206>"
"MS Excel Untuk Perkantoran Masa Kini","Text","","978-602-02-6689-3","PT Gramedia","2015","","","","Indonesia","jakarta","NONE","","","","<Beranda Agency>","","<10205>"
"Al- Biruni","Text","","978-979-91-0543-1","PT Gramedia","2013","","","","Indonesia","jakarta","NONE","","","","<Bill Scheppler>","","<10202><10203>"
"Membuat Toko Online dengan WordPress dan WP eCommerce","Text","","9786020259536","PT Elex Media Komputin","2015","","","","Indonesia","jakarta","NONE","","","","<Wahana Komputer>","","<10201>"
"101 Life Hacks for Teensrn"Mudahkan Hari-Harimu"","Text","Cetakan Pertama: Agustus 2017","978-602-366-328-6","Tiga Ananda Creative Imprint of Tiga Serangkai","2017","","","","Indonesia","Solo","NONE","","101_Life_Hacks_for_Teens.jpg.jpg","","<Debby Lukito Goeyardi><Indah Diana>","","<10198><10199><10200>"
"Mengenal Pahlawan Nasional 1","Text","2012","978-602-7596-71-9","Esensi Erlangga Group","2012","","","","Indonesia","jakarta","NONE","","Mengenal_Pahlawan_Nasional_1.JPG.JPG","","<Dina Alfiyanti>","","<10193>"
"Gabriel Finley","Text","","978-602-72834-8-0","PT Tiga Serangkai Putaka Mandiri","2016","","","","Indonesia","Solo","NONE","","","","<George Hagen>","","<10183><10184><10185>"
"4 Pemimpin Wanita SurgarnBiografi Dan Kisah Menakjubkan Bidadari Surga","Text","Cetakan Pertama: Juni 2018","978-602-5731-14-3","Tinta Medina, Creative Imprint of Tiga Serangkai","2018","","","","Indonesia","Solo","NONE","","4_Pemimpin_Wanita_Surga.jpg.jpg","","<Fuad Abdurrahman>","","<10180><10181><10182>"
"Kisah Dari Bilik Pesantren","Text","","","","2017","","","","Indonesia","","NONE","","","","<Fathurrahman>","","<10179>"
"Gajah MadarnMakar Dharmaputra","Text","Cetakan Ketiga: Agustus 2017 (Edisi Baru)","978-979-084-834-4","PT. Tiga Serangkai Pustaka Mandiri","2017","","","","Indonesia","Solo","NONE","","Gajah_Mada_Makar_Dharmaputra.JPG.JPG","","<Langit Kresna Hariadi>","","<10176><10177><10178>"
"Amurwa Bhumi Lintang Panjer Sore","Text","Cetakan Pertama: Mei 2015","978-602-72510-4-5","Metamind, Creative Imprint of Tiga Serangkai","2015","","","","Indonesia","Solo","NONE","","Amurwa_Bhumi.JPG.JPG","","<Langit Kresna Hariadi>","","<10173><10174><10175>"
"Gugur Bunga Kedaton","Text","Cetakan Pertama: Februari 2015","978-602-72097-2-5","Metamind, Creative Imprint of Tiga Serangkai","2015","","","","Indonesia","Solo","NONE","","Gugur_Bunga_Kedaton.jpg.jpg","","<Wahyu H.R.>","","<10170><10171><10172>"
"Panji Wirapati Pralaya Di Tanah Jawa","Text","Cetakan Pertama: Maret 2014","978-602-9251-23-4","Metamind, Creative Imprint of Tiga Serangkai","2014","","","","Indonesia","Solo","NONE","","Panji_Wirapati_Pralaya_Di_Tanah_Jawa.jpg.jpg","","<Nugroho Widjajanto>","","<10167><10168><10169>"
"Panji Wirapati Tumpas Pamungkas","Text","Cetakan Pertama: Mei 2014","978-602-9251-28-9","Metamind, Creative Imprint of Tiga Serangkai","2014","","","","Indonesia","Solo","NONE","","Panji_Wirapati_Tumpas_Pamungkas.JPG.JPG","","<Nugroho Widjajanto>","","<10164><10165><10166>"
"Anomalies The Rise of The Underground","Text","Cetakan Pertama: Februari 2017","978-602-9251-34-0","Metamind, Creative Imprint of Tiga Serangkai","2017","","","813 SEG A03/3","Indonesia","Solo","813","","Anomalies_The_Rise_of_the_Underground.JPG.JPG","","<Jason Segel>","","<10161><10162><10163>"
"Penangsang Lukisan Sembilan Cahaya","Text","Cetakan Pertama: Juni 2015","978-602-72510-9-0","Metamind, Creative Imprint of Tiga Serangkai","2015","","","","Indonesia","Solo","NONE","","Penangsang_Lukisan_Sembilan_Cahaya.jpg.jpg","","<NasSirun PurwOkartun>","","<10158><10159><10160>"
"AMR Bin ASH Panglima Pembebas Mesir Dari Belenggu Romawi","Text","Cetakan Kedua: Desember 2017","978-602-0894-54-6","Tinta Medina, Creative Imprint of Tiga Serangkai","2017","","","","Indonesia","Solo","NONE","","AMR_bin_ASH.jpg.jpg","","<Dr. Hasan Ibrahim Hasan>","","<10155><10156><10157>"
"Indahnya Cinta Karena Allah Nikmatnya Cinta Berbalas dari Allah","Text","Cetakan Pertama: Maret 2016","978-602-0894-23-2","Tinta Medina, Creative Imprint of Tiga Serangkai","2016","","","","Indonesia","Solo","NONE","","Indahnya_Cinta_Karena_Allah_Nikmatnya_Cinta_Berbalas_dari_Allah.jpg.jpg","","<Syekh 'Abduh bin Ahmad al-Aqra'>","","<10149><10150><10151>"
"Buku Pintar Orang Tua","Text","Cetakan Pertama: September 2017","978-602-6328-37-3","Metagraf","2017","","","","Indonesia","Solo","NONE","","Buku_Pintar_Orang_Tua.jpg.jpg","","<Akademi Orangtua Indonesia Surakarta (AORTA)>","","<10146><10147><10148>"
"101 Inspirasi Muda Indonesia","Text","Cetakan Pertama: Juli 2016","978-602-6328-12-0","Metagraf","2116","","","","Indonesia","Solo","NONE","","101_Inspirasi_Muda_Indonesia.jpg.jpg","","<Mappesangka Mustafa><Hendi Suaeb>","","<10143><10144><10145>"
"Kapten Bhukal The Battle of Alas Tua","Text","Cetakan Pertama: Agustus 2016","978-602-9251-32-6","Metamind, Creative Imprint of Tiga Serangkai","2016","","","","Indonesia","Solo","NONE","","Kapten_Bhukal.jpg.jpg","","<Arul Chandrana>","","<10140><10141><10142>"
"The Great of Abu Bakar Ash-Shiddiq Keping-Keping Mozaik Menakjubkan Kehidupan Khalifah Pertama","Text","Cetakan Pertama: Agustus 2018","978-602-5731-21-1","Tinta Medina, Creative Imprint of Tiga Serangkai","2018","","","","Indonesia","Solo","NONE","","The_Great_of_Abu_Bakar_Ash-Shiddiq.jpg.jpg","","<Fuad Abdurrahman><Ali Sudansah>","","<10137><10138><10139>"
"Bergegaslah! Manfaatkan Waktumu Raih Keberkahannya","Text","","978-602-5731-20-4","PT Tiga Serangkai Putaka Mandiri","2018","","","","Indonesia","Solo","NONE","","","","<Royhan Firdausy>","","<10134><10135><10136>"
"Kuda Anyampiani Lost in China","Text","Cetakan Pertama: September 2014","978-602-9251-27-2","Metamind, Creative Imprint of Tiga Serangkai","2014","","","","Indonesia","Solo","NONE","","Kuda_Anyampiani_Lost_in_China.jpg.jpg","","<Wahyu H.R.>","","<10131><10132><10133>"
"Pesan Imam Malik Ulama Kaya Raya yang Zuhud","Text","Cetakan Pertama: Februari 2018","978-602-0894-98-0","Tinta Medina, Creative Imprint of Tiga Serangkai","2018","","","","Indonesia","Solo","NONE","","Pesan_Imam_Malik.jpg.jpg","","<Rosyid Shobari>","","<10128><10129><10130>"
"Apotek Rabbani","Text","Cetakan Pertama: Oktober 2016","978-602-0894-40-9","Tinta Medina, Creative Imprint of Tiga Serangkai","2016","","","","Indonesia","Solo","NONE","","Apotek_Rabbani.jpg.jpg","","<Siti Zumrotus Sa'adah>","","<10125><10126><10127>"
"The Thing I'd Miss Kisah Dalam Kenangan","Text","Cetakan Pertama: Maret 2016","978-602-72834-9-7","Metamind, Creative Imprint of Tiga Serangkai","2016","","","","Indonesia","Solo","NONE","","The_Thing_I'd_Miss.jpg.jpg","","<Andrew Clover>","","<10122><10123><10124>"
"Mistress of Mourning Nyonya Perkabungan","Text","Cetakan Pertama: Desember 2014","978-979-045-794-2","Metamind, Creative Imprint of Tiga Serangkai","2014","","","","Indonesia","Solo","NONE","","Mistress_of_Mourning.jpg.jpg","","<Karen Harper>","","<10119><10120><10121>"
"77 Cara Sukses Bisnis ala Rasulullah","Text","Cetakan Pertama: September 2018","978-602-5731-25-9","Tinta Medina, Creative Imprint of Tiga Serangkai","2018","","","","Indonesia","Solo","NONE","","77_Cara_Sukses_Bisnis_ala_Rasulullah.jpg.jpg","","<Aulia Muthiah>","","<10116><10117><10118>"
"Adversity Quotient Agar Anak Tak Gampang Menyerah","Text","Cetakan Pertama: September 2016","978-602-0894-39-3","Tinta Medina, Creative Imprint of Tiga Serangkai","2016","","","","Indonesia","Solo","NONE","","Adversity_Quotient.JPG.JPG","","<Miarti Yoga>","","<10113><10114><10115>"
"Zaid Bin Tsabit","Text","Cetakan Pertama: Juni 2016","9787-602-0894-29-4","Tinta Medina, Creative Imprint of Tiga Serangkai","2016","","","","Indonesia","Solo","NONE","","Zaid_bin_Tsabit.jpg.jpg","","<Dr. Shafwan Adnan Dawudi>","","<10110><10111><10112>"
"Amalan Sepanjang Tahun Meraih Pahala Di Bulan-Bulan Hijriah","Text","Cetakan Pertama: November 2016","978-602-0894-45-4","Tinta Medina, Creative Imprint of Tiga Serangkai","2016","","","","Indonesia","Solo","NONE","","Amalan_Sepanjang_Tahun_Meraih_Pahala_Di_Bulan-Bulan_Hijriah.jpg.jpg","","<Hj. Fadillah Ulfa, Lc.,M.A.>","","<10107><10108><10109>"
"Ha Nahnu Dza","Text","Cetakan Pertama: Mei 2017","978-602-0894-64-5","Tinta Medina, Creative Imprint of Tiga Serangkai","2017","","","","Indonesia","Solo","NONE","","Ha_Nahnu_Dza.jpg.jpg","","<Ira Madam>","","<10104><10105><10106>"
"Perjalanan Cinta dan Makna Perempuan","Text","","978-602-73871-8-8","PT Tiga Serangkai Putaka Mandiri","2016","","","","Indonesia","Solo","NONE","","","","<Nazura Gulfira>","","<10101><10102><10103>"
"101 Strategi Sukses Berbisnis Kuliner","Text","","978-602-6328-11-3","PT Tiga Serangkai Putaka Mandiri","2016","","","","Indonesia","Solo","NONE","","","","<Qalbinur Nawawi>","","<10098><10099><10100>"
"Aksi Kocak Nuruddin 2rnNovel Pendidikan Adab dan Hikmah","Text","","978-602-5731-04-4","PT Tiga Serangkai Putaka Mandiri","2018","","","","Indonesia","Solo","NONE","","","","<Harlis Kurniawan>","","<10095><10096><10097>"
"dr. LornSang Maestro Kehidupan","Text","","978-602-73871-3-3","PT Tiga Serangkai Putaka Mandiri","2016","","","","Indonesia","Solo","NONE","","","","<dr. Nadjibah Yahya, Dipl. CIBTAC>","","<10092><10093><10094>"
"The Queen at WarrnPetualangan Menjelajah Waktu","Text","","978-602-9251-20-3","PT Tiga Serangkai Putaka Mandiri","2013","","","","Indonesia","Solo","NONE","","","","<K.A.S. Quinn>","","<10089><10090><10091>"
"180 Berpikir Beda Untuk Menciptakan Hidup yang Luar Biasa","Text","","978-602-6328-29-8","PT Tiga Serangkai Putaka Mandiri","2017","","","","Indonesia","Solo","NONE","","","","<Edi Susanto>","","<10086><10087><10088>"
"Ketika Minoritas Jadi Pilihan","Text","","978-602-0894-75-1","PT Tiga Serangkai Putaka Mandiri","2017","","","","Indonesia","Solo","NONE","","","","<Irja Nasrullah>","","<10083><10084><10085>"
